child_anonim;group;match;crawling_age;walking_age;babbling_age
1902;Bilinguals;match1;NA;NA;NA
1926;Bilinguals;match1;NA;NA;NA
1949;Bilinguals;match1;NA;NA;NA
1970;Bilinguals;match1;NA;NA;NA
1988;Bilinguals;match1;NA;NA;NA
1998;Bilinguals;match1;NA;NA;NA
1999;Bilinguals;match1;NA;NA;NA
2038;Bilinguals;match1;NA;NA;NA
2041;Bilinguals;match1;NA;NA;NA
2045;Bilinguals;match1;NA;NA;NA
2046;Bilinguals;match1;NA;NA;NA
2051;Bilinguals;match1;NA;NA;NA
2063;Bilinguals;match1;NA;NA;NA
2119;Bilinguals;match1;NA;NA;NA
2137;Bilinguals;match1;8;10;8
2152;Bilinguals;match1;6;15;5
2200;Bilinguals;match1;NA;NA;NA
2201;Bilinguals;match1;NA;NA;NA
2281;Bilinguals;match1;NA;NA;NA
2299;Bilinguals;match1;NA;NA;NA
2360;Bilinguals;match1;NA;NA;NA
2450;Bilinguals;match1;NA;NA;NA
2456;Bilinguals;match1;NA;NA;NA
2508;Bilinguals;match1;NA;NA;NA
2519;Bilinguals;match1;NA;NA;NA
2524;Bilinguals;match1;8;NA;NA
2533;Bilinguals;match1;NA;NA;NA
2685;Bilinguals;match1;NA;NA;NA
2696;Bilinguals;match1;NA;NA;NA
2734;Bilinguals;match1;NA;NA;NA
2768;Bilinguals;match1;NA;NA;NA
2785;Bilinguals;match1;NA;NA;NA
2857;Bilinguals;match1;NA;NA;NA
2891;Bilinguals;match1;9;13;9
2919;Bilinguals;match1;8;12;10
2920;Bilinguals;match1;NA;NA;NA
2987;Bilinguals;match1;10;13;NA
2994;Bilinguals;match1;NA;NA;NA
3003;Bilinguals;match1;NA;NA;NA
3089;Bilinguals;match1;6;10;5
3092;Bilinguals;match1;NA;NA;NA
3096;Bilinguals;match1;NA;NA;NA
3131;Bilinguals;match1;NA;NA;NA
3162;Bilinguals;match1;NA;NA;NA
3176;Bilinguals;match1;NA;NA;NA
3182;Bilinguals;match1;NA;NA;NA
3203;Bilinguals;match1;NA;NA;NA
3205;Bilinguals;match1;NA;NA;NA
3269;Bilinguals;match1;NA;NA;NA
3284;Bilinguals;match1;NA;NA;NA
3295;Bilinguals;match1;12;NA;NA
3302;Bilinguals;match1;NA;NA;NA
3322;Bilinguals;match1;NA;NA;NA
3338;Bilinguals;match1;9;NA;7
3352;Bilinguals;match1;NA;NA;NA
3392;Bilinguals;match1;NA;NA;NA
3416;Bilinguals;match1;NA;NA;NA
3444;Bilinguals;match1;NA;NA;NA
3463;Bilinguals;match1;NA;NA;NA
3467;Bilinguals;match1;NA;NA;NA
3508;Bilinguals;match1;NA;NA;NA
3580;Bilinguals;match1;7;NA;5
3591;Bilinguals;match1;NA;NA;NA
3601;Bilinguals;match1;NA;NA;NA
3650;Bilinguals;match1;NA;NA;NA
3725;Bilinguals;match1;5;11;5
3751;Bilinguals;match1;17;12;5
3811;Bilinguals;match1;NA;NA;NA
3828;Bilinguals;match1;NA;NA;NA
3838;Bilinguals;match1;NA;NA;NA
3875;Bilinguals;match1;12;NA;NA
3884;Bilinguals;match1;NA;NA;NA
3888;Bilinguals;match1;NA;NA;NA
3896;Bilinguals;match1;NA;NA;NA
3927;Bilinguals;match1;NA;NA;NA
3930;Bilinguals;match1;NA;NA;NA
3933;Bilinguals;match1;NA;NA;NA
4001;Bilinguals;match1;NA;NA;NA
4021;Bilinguals;match1;7;12;6
4031;Bilinguals;match1;NA;NA;NA
4079;Bilinguals;match1;9;11;6
4089;Bilinguals;match1;NA;NA;NA
4114;Bilinguals;match1;NA;NA;NA
4130;Bilinguals;match1;NA;NA;NA
4140;Bilinguals;match1;NA;NA;NA
4143;Bilinguals;match1;NA;NA;NA
4144;Bilinguals;match1;7;NA;NA
4150;Bilinguals;match1;NA;NA;NA
4202;Bilinguals;match1;NA;NA;NA
4220;Bilinguals;match1;NA;NA;NA
4235;Bilinguals;match1;NA;NA;NA
4254;Bilinguals;match1;7;13;5
4260;Bilinguals;match1;NA;NA;NA
4267;Bilinguals;match1;NA;NA;NA
4311;Bilinguals;match1;9;NA;6
4323;Bilinguals;match1;NA;NA;NA
4347;Bilinguals;match1;4;10;4
4490;Bilinguals;match1;NA;NA;NA
4549;Bilinguals;match1;6;NA;11
4556;Bilinguals;match1;8;13;NA
4582;Bilinguals;match1;NA;NA;NA
4630;Bilinguals;match1;NA;NA;NA
4634;Bilinguals;match1;NA;NA;NA
4644;Bilinguals;match1;10;16;6
4689;Bilinguals;match1;7;12;NA
4708;Bilinguals;match1;NA;NA;NA
